AL;JUNDIA;0;0;0;0;1;0;0;0;1
AL;JUNQUEIRO;0;1;1;0;18;0;0;0;20
AL;LAGOA DA CANOA;0;0;0;0;19;0;0;0;19
AL;LIMOEIRO DE ANADIA;1;0;0;0;3;0;0;0;4
AL;MACEIO;2079;120;65;103;594;0;79;6;3052
AL;MAJOR ISIDORO;4;0;0;0;12;0;1;0;17
AL;MAR VERMELHO;0;0;0;1;0;0;0;0;1
AL;MARAGOGI;4;2;0;1;9;0;0;0;16
AL;MARAVILHA;0;0;0;0;1;0;0;0;1
AL;MARECHAL  DEODORO;15;0;0;2;32;0;1;0;50
AL;MARIBONDO;2;0;1;0;4;0;1;0;8
AL;MATA GRANDE;3;0;0;0;0;0;0;0;3
AL;MATRIZ DE CAMARAGIBE;1;0;0;0;4;0;3;0;8
AL;MESSIAS;2;0;0;0;6;0;0;0;8
AL;MINADOR DO NEGRAO;0;0;0;0;4;0;0;0;4
AL;MONTEIROPOLIS;0;0;0;0;5;0;0;0;5
AL;MURICI;12;0;1;0;15;0;0;0;28
AL;NOVO LINO;0;0;0;0;4;0;1;0;5
AL;OLHO D'AGUA DAS FLORES;15;0;2;1;20;0;1;0;39
AL;OLHO D'AGUA DO CASADO;0;0;1;0;5;0;0;0;6
AL;OLHO D'AGUA GRANDE;0;0;0;0;2;0;0;0;2
AL;OLIVENCA;1;0;0;0;1;0;0;0;2
AL;OURO BRANCO;0;1;1;0;0;0;0;0;2
AL;PALESTINA;0;0;0;0;1;0;0;0;1
AL;PALMEIRA  DOS  INDIOS;43;6;4;17;39;0;1;0;111
AL;PAO DE ACUCAR;6;0;2;0;5;0;0;0;13
AL;PARICONHA;2;0;0;0;6;0;0;0;8
AL;PARIPUEIRA;1;1;0;0;5;0;0;0;7
AL;PASSO DE CAMARAGIBE;0;0;0;0;11;0;0;0;11
AL;PAULO JACINTO;1;0;0;0;7;0;0;0;8
AL;PENEDO;28;1;4;2;27;0;1;0;64
AL;PIACABUCU;4;0;0;2;6;0;0;0;12
AL;PILAR;3;1;0;1;19;0;0;0;24
AL;PINDOBA;0;0;0;0;2;0;0;0;2
AL;PIRANHAS;10;0;0;0;8;0;0;0;18
AL;POCO DAS TRINCHEIRAS;1;0;0;0;2;0;0;0;3
AL;PORTO CALVO;6;0;1;0;0;21;0;0;28
AL;PORTO DE PEDRAS;0;0;0;0;0;5;0;5
AL;PORTO REAL DO COLEGIO;1;0;0;1;0;11;0;13
AL;POXIM;0;0;0;0;0;2;0;2
AL;QUEBRANGULO;2;0;0;2;0;8;0;4
AL;RIO LARGO;13;0;1;2;0;28;3;47
AL;ROTEIRO;0;0;0;0;0;3;0;0;3
AL;SANTA LUZIA DO NORTE;0;0;0;0;0;9;0;0
AL;SANTANA DO IPANEMA;26;0;3;2;0;10;1;42
AL;SANTANA DO MUNDAU;1;0;0;1;0;15;0;17
AL;SAO BRAS;0;0;0;3;0;3;0;0;6
AL;SAO  JOSE  DA  LAJE;3;0;0;1;0;14;0;0;18
AL;SAO JOSE DA TAPERA;2;0;1;0;0;3;0;0,4
AL;SAO LUIS DO QUITUNDE;3;0;1;0;0;9;0;0;14
AL;SAO MIGUEL DOS CAMPOS;11;0;3;0;0;31;1;0;35
AL;SAO MIGUEL DOS MILAGRES;0;0;0;0;0;1;0;0;1
AL;SAO SEBASTIAO;5;0;0;0;0;40;0;0;45
AL;SATUBA;1;0;0;1;0;11;0;0;13
AL;SENADOR RUI PALMEIRA;0;0;0;0;0;5;0;0;5
AL;TANQUE D'ARCA;0;0;0;0;0;1;1;0;2
AL;TAQUARANA;1;0;0;0;0;2;0;0;3
AL;TEOTONIO VILELA;1;0;0;0;0;26;0;0;27
AL;TRAIPU;1;0;0;0;0;3;0;0;4
AL;UNIAO DOS PALMARES;15;0;2;4;0;44;2;0;67
AL;VICOSA;1;0;2;0;0;5;0;0;8
BA;ALAGOINHAS;0;0;0;0;0;0;1;0;1
BA;FEIRA DE SANTANA;0;0;1;0;0;0;0;0;1
BA;LAURO  DE  FREITAS;0;0;0;0;0;0;1;0;1
BA;PAULO AFONSO;5;0;0;0;0;1;0;0;6
BA;SALVADOR;1;0;0;0;0;0;0;0;1
BA;SANTA BRIGIDA;1;0;0;0;0;0;0;0;1
CE;FORTALEZA;0;0;0;0;0;1;0;0;1
DF;BRASILIA;1;0;1;0;0;0;0;0;2
GO;GOIANIA;0;0;1;0;0;1;0;0;2
MA;SAO LUIS;1;0;0;0;0;0;0;0;1
MG;BRAUNAS;1;0;0;0;0;0;0;0;1
MT;CUIABA;1;0;0;0;0;0;0;0;1
PE;AGUAS BELAS;2;0;0;0;0;0;0;0;2
PE;BOM CONSELHO;3;0;0;0;0;1;2;0;5
PE;CARUARU;3;0;0;0;0;0;0;0;3
PE;CATENDE;1;0;0;0;0;0;0;0;1
PE;GARANHUNS;3;0;0;0;0;0;0;0;3
PE;IPOJUCA;1;0;0;0;0;0;0;0;1
